,name,state,url,party,margin
Solomon,Solomon,NT,https://www.abc.net.au/news/elections/federal/2019/guide/solo/,ALP,6.1
Spence,Spence,SA,https://www.abc.net.au/news/elections/federal/2019/guide/spen/,ALP,17.2
Stirling,Stirling,WA,https://www.abc.net.au/news/elections/federal/2019/guide/stir/,LIB,6.1
Sturt,Sturt,SA,https://www.abc.net.au/news/elections/federal/2019/guide/stur/,LIB,5.4
Swan,Swan,WA,https://www.abc.net.au/news/elections/federal/2019/guide/swan/,LIB,3.6
Sydney,Sydney,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/sydn/,ALP,15.3
Tangney,Tangney,WA,https://www.abc.net.au/news/elections/federal/2019/guide/tang/,LIB,11.1
Wannon,Wannon,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/wann/,LIB,9.2
Warringah,Warringah,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/warr/,LIB,11.1
Watson,Watson,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/wats/,ALP,17.6
Wentworth (*),Wentworth (*),NSW,https://www.abc.net.au/news/elections/federal/2019/guide/went/,IND,1.0
Werriwa,Werriwa,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/werr/,ALP,8.2
Whitlam,Whitlam,NSW,https://www.abc.net.au/news/elections/federal/2019/guide/whit/,ALP,13.7
Wide Bay,Wide Bay,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/wbay/,LNP,8.2
Wills,Wills,VIC,https://www.abc.net.au/news/elections/federal/2019/guide/will/,ALP,4.9
Wright,Wright,QLD,https://www.abc.net.au/news/elections/federal/2019/guide/wrig/,LNP,9.6
