,first_name,family_name,party,electorate,sitting,website,twitter,facebook,instagram
Rosemary Moulden,Rosemary,Moulden,ONP,Maranoa,False,https://www.onenation.org.au/our-team/rosemary-moulden-maranoa/,,mouldenformaranoa,
Rosie Lavin,Rosie,Lavin,AJP,Chisholm,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Ross Hamilton,Ross,Hamilton,SAP,Farrer,False,https://www.sustainableaustralia.org.au/federal_2019,,,
Ross Hart,Ross,Hart,ALP,Bass,True,,rosshartmp,rosshartmp,
Ross Vasta,Ross,Vasta,LNP,Bonner,True,https://www.rossvasta.com.au/,,rossvastamp,rossvastamp
Rowan Huxtable,Rowan,Huxtable,GRN,Cunningham,False,https://greens.org.au/nsw/person/rowan-huxtable,,illawarragreens,
Rowan Ramsey,Rowan,Ramsey,LIB,Grey,True,,rowanramseymp,rowanramseymp,
Rupert Bacher,Rupert,Bacher,UAP,Barker,False,,,barker-uap-327249241235264,
Russell Bauer,Russell,Bauer,LNP,Oxley,False,,,,
Russell Broadbent,Russell,Broadbent,LIB,Monash,True,,broadbentmp,russell.broadbent.94,
Russell Robertson,Russell,Robertson,ALP,Capricornia,False,,,rrobertsonalp,
Ruth Parramore,Ruth,Parramore,AJP,McEwen,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Sachin Joshi,Sachin,Joshi,LIB,Paterson,False,https://nsw.liberal.org.au/SachinJoshi,,sachinjoshiforpaterson,
Sahil Chawla,Sahil,Chawla,UAP,Burt,False,,,sahilchawlauap,
Sally Milbourne,Sally,Milbourne,NAT,Braddon,False,http://nationals.org.au/sally-milbourne-to-contest-braddon-for-the-nationals/,,,
Sally Spain,Sally,Spain,GRN,Moncrieff,False,https://greens.org.au/qld/person/sally-spain,,sallyspaingreens,
Sam Blackadder,Sam,Blackadder,GRN,Herbert,False,https://greens.org.au/qld/person/sam-blackadder,,samblackadder.thegreens,
Sam Crosby,Sam,Crosby,ALP,Reid,False,https://www.alp.org.au/our-people/our-people/sam-crosby/,sampcrosby,crosbyforreid,crosby
Sam Gayed,Sam,Gayed,LIB,Bendigo,False,,,,
Sam Kayal,Sam,Kayal,LIB,Werriwa,False,https://nsw.liberal.org.au/SamKayal,,,
